"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B05003_001E","Estimate!!Total:"
"B05003_001EA","Annotation of Estimate!!Total:"
"B05003_001M","Margin of Error!!Total:"
"B05003_001MA","Annotation of Margin of Error!!Total:"
"B05003_002E","Estimate!!Total:!!Male:"
"B05003_002M","Margin of Error!!Total:!!Male:"
"B05003_002MA","Annotation of Margin of Error!!Total:!!Male:"
"B05003_002EA","Annotation of Estimate!!Total:!!Male:"
"B05003_003E","Estimate!!Total:!!Male:!!Under 18 years:"
"B05003_003EA","Annotation of Estimate!!Total:!!Male:!!Under 18 years:"
"B05003_003M","Margin of Error!!Total:!!Male:!!Under 18 years:"
"B05003_003MA","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:"
"B05003_004E","Estimate!!Total:!!Male:!!Under 18 years:!!Native"
"B05003_004EA","Annotation of Estimate!!Total:!!Male:!!Under 18 years:!!Native"
"B05003_004M","Margin of Error!!Total:!!Male:!!Under 18 years:!!Native"
"B05003_004MA","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:!!Native"
"B05003_005E","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:"
"B05003_005M","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:"
"B05003_005MA","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:"
"B05003_005EA","Annotation of Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:"
"B05003_006E","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_006M","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_006MA","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_006EA","Annotation of Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_007E","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen"
"B05003_007M","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen"
"B05003_007MA","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen"
"B05003_007EA","Annotation of Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen"
"B05003_008E","Estimate!!Total:!!Male:!!18 years and over:"
"B05003_008EA","Annotation of Estimate!!Total:!!Male:!!18 years and over:"
"B05003_008M","Margin of Error!!Total:!!Male:!!18 years and over:"
"B05003_008MA","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:"
"B05003_009E","Estimate!!Total:!!Male:!!18 years and over:!!Native"
"B05003_009EA","Annotation of Estimate!!Total:!!Male:!!18 years and over:!!Native"
"B05003_009M","Margin of Error!!Total:!!Male:!!18 years and over:!!Native"
"B05003_009MA","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:!!Native"
"B05003_010E","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:"
"B05003_010EA","Annotation of Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:"
"B05003_010M","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:"
"B05003_010MA","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:"
"B05003_011E","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_011EA","Annotation of Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_011M","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_011MA","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_012E","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
"B05003_012EA","Annotation of Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
"B05003_012M","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
"B05003_012MA","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
