"GEO_ID","NAME","B05003_001E","B05003_001EA","B05003_001M","B05003_001MA","B05003_002E","B05003_002M","B05003_002MA","B05003_002EA","B05003_003E","B05003_003EA","B05003_003M","B05003_003MA","B05003_004E","B05003_004EA","B05003_004M","B05003_004MA","B05003_005E","B05003_005M","B05003_005MA","B05003_005EA","B05003_006E","B05003_006M","B05003_006MA","B05003_006EA","B05003_007E","B05003_007M","B05003_007MA","B05003_007EA","B05003_008E","B05003_008EA","B05003_008M","B05003_008MA","B05003_009E","B05003_009EA","B05003_009M","B05003_009MA","B05003_010E","B05003_010EA","B05003_010M","B05003_010MA","B05003_011E","B05003_011EA","B05003_011M","B05003_011MA","B05003_012E","B05003_012EA","B05003_012M","B05003_012MA","B05003_013E","B05003_013EA","B05003_013M","B05003_013MA","B05003_014E","B05003_014EA","B05003_014M","B05003_014MA","B05003_015E","B05003_015M","B05003_015MA","B05003_015EA","B05003_016E","B05003_016M","B05003_016MA","B05003_016EA","B05003_017E","B05003_017M","B05003_017MA","B05003_017EA","B05003_018E","B05003_018EA","B05003_018M","B05003_018MA","B05003_019E","B05003_019EA","B05003_019M","B05003_019MA","B05003_020E","B05003_020M","B05003_020MA","B05003_020EA","B05003_021E","B05003_021EA","B05003_021M","B05003_021MA","B05003_022E","B05003_022EA","B05003_022M","B05003_022MA","B05003_023E","B05003_023EA","B05003_023M","B05003_023MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Annotation of Margin of Error!!Total:!!Male:","Annotation of Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 18 years:","Annotation of Estimate!!Total:!!Male:!!Under 18 years:","Margin of Error!!Total:!!Male:!!Under 18 years:","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:","Estimate!!Total:!!Male:!!Under 18 years:!!Native","Annotation of Estimate!!Total:!!Male:!!Under 18 years:!!Native","Margin of Error!!Total:!!Male:!!Under 18 years:!!Native","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:!!Native","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:","Annotation of Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Annotation of Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Annotation of Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Annotation of Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Male:!!18 years and over:","Annotation of Estimate!!Total:!!Male:!!18 years and over:","Margin of Error!!Total:!!Male:!!18 years and over:","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:","Estimate!!Total:!!Male:!!18 years and over:!!Native","Annotation of Estimate!!Total:!!Male:!!18 years and over:!!Native","Margin of Error!!Total:!!Male:!!18 years and over:!!Native","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:!!Native","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:","Annotation of Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Annotation of Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Annotation of Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Annotation of Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Female:","Annotation of Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Annotation of Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 18 years:","Annotation of Estimate!!Total:!!Female:!!Under 18 years:","Margin of Error!!Total:!!Female:!!Under 18 years:","Annotation of Margin of Error!!Total:!!Female:!!Under 18 years:","Estimate!!Total:!!Female:!!Under 18 years:!!Native","Margin of Error!!Total:!!Female:!!Under 18 years:!!Native","Annotation of Margin of Error!!Total:!!Female:!!Under 18 years:!!Native","Annotation of Estimate!!Total:!!Female:!!Under 18 years:!!Native","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:","Annotation of Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:","Annotation of Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Annotation of Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Annotation of Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Annotation of Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Female:!!18 years and over:","Annotation of Estimate!!Total:!!Female:!!18 years and over:","Margin of Error!!Total:!!Female:!!18 years and over:","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:","Estimate!!Total:!!Female:!!18 years and over:!!Native","Margin of Error!!Total:!!Female:!!18 years and over:!!Native","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:!!Native","Annotation of Estimate!!Total:!!Female:!!18 years and over:!!Native","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:","Annotation of Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Annotation of Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Annotation of Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen",
"0400000US01","Alabama","5074296","null","*****","*****","2461248","6178","null","null","567348","null","5785","null","559666","null","5629","null","7682","1875","null","null","1999","1003","null","null","5683","1748","null","null","1893900","null","3197","null","1806518","null","5549","null","87382","null","5683","null","31670","null","2998","null","55712","null","4939","null","2613048","null","6178","null","543680","null","5775","null","536037","6057","null","null","7643","2179","null","null","2132","916","null","null","5511","null","2057","null","2069368","null","2764","null","1980841","5379","null","null","88527","null","4674","null","43461","null","3432","null","45066","null","3574","null",
"0400000US02","Alaska","733583","null","*****","*****","385667","2351","null","null","89261","null","2147","null","88509","null","2141","null","752","542","null","null","482","469","null","null","270","190","null","null","296406","null","1666","null","270889","null","2914","null","25517","null","2459","null","15444","null","1852","null","10073","null","1680","null","347916","null","2351","null","86484","null","1985","null","85583","1895","null","null","901","570","null","null","232","274","null","null","669","null","516","null","261432","null","1143","null","233530","3042","null","null","27902","null","2841","null","18099","null","2120","null","9803","null","1701","null",
"0400000US04","Arizona","7359197","null","*****","*****","3678381","2695","null","null","810539","null","2614","null","786716","null","4678","null","23823","3569","null","null","6671","2074","null","null","17152","2987","null","null","2867842","null","1735","null","2423758","null","10886","null","444084","null","10978","null","216775","null","7372","null","227309","null","9877","null","3680816","null","2695","null","777064","null","2443","null","752824","4163","null","null","24240","3572","null","null","5447","1387","null","null","18793","null","3507","null","2903752","null","1468","null","2433211","11732","null","null","470541","null","11978","null","248837","null","9340","null","221704","null","9230","null",
"0400000US05","Arkansas","3045637","null","*****","*****","1504488","4216","null","null","357164","null","4053","null","349769","null","4263","null","7395","2259","null","null","703","559","null","null","6692","2222","null","null","1147324","null","2500","null","1074596","null","4953","null","72728","null","4819","null","27411","null","3351","null","45317","null","3733","null","1541149","null","4216","null","338668","null","4190","null","333789","4345","null","null","4879","1764","null","null","351","298","null","null","4528","null","1771","null","1202481","null","2324","null","1131410","4131","null","null","71071","null","3781","null","28086","null","2597","null","42985","null","3161","null",
"0400000US06","California","39029342","null","*****","*****","19536425","6410","null","null","4355259","null","4721","null","4152174","null","11733","null","203085","10179","null","null","48036","4708","null","null","155049","8564","null","null","15181166","null","4309","null","10303464","null","31465","null","4877702","null","31126","null","2576016","null","23283","null","2301686","null","27218","null","19492917","null","6410","null","4143747","null","5389","null","3950283","10353","null","null","193464","9916","null","null","47940","4332","null","null","145524","null","8263","null","15349170","null","3306","null","10195396","33634","null","null","5153774","null","33710","null","3004046","null","26522","null","2149728","null","28177","null",
"0400000US08","Colorado","5839926","null","*****","*****","2960896","4278","null","null","618190","null","3904","null","600876","null","4852","null","17314","3037","null","null","5432","1444","null","null","11882","2701","null","null","2342706","null","2226","null","2088480","null","9777","null","254226","null","9103","null","120394","null","5741","null","133832","null","6912","null","2879030","null","4278","null","592905","null","3590","null","574665","3698","null","null","18240","2998","null","null","4567","1416","null","null","13673","null","2964","null","2286125","null","2301","null","2018377","8349","null","null","267748","null","7899","null","142101","null","7112","null","125647","null","7032","null",
"0400000US09","Connecticut","3626205","null","*****","*****","1776689","2237","null","null","374093","null","2015","null","355964","null","3522","null","18129","2747","null","null","3451","1214","null","null","14678","2456","null","null","1402596","null","1620","null","1137788","null","8958","null","264808","null","9196","null","147380","null","6289","null","117428","null","7240","null","1849516","null","2237","null","356331","null","2050","null","341605","2461","null","null","14726","2277","null","null","2535","982","null","null","12191","null","2220","null","1493185","null","1605","null","1222537","8230","null","null","270648","null","8112","null","160702","null","6810","null","109946","null","5973","null",
"0400000US10","Delaware","1018396","null","*****","*****","494657","1092","null","null","105784","null","1047","null","102497","null","1498","null","3287","1280","null","null","1203","887","null","null","2084","893","null","null","388873","null","286","null","341069","null","3329","null","47804","null","3335","null","25928","null","3060","null","21876","null","2400","null","523739","null","1092","null","102443","null","1052","null","99954","1509","null","null","2489","1112","null","null","862","604","null","null","1627","null","909","null","421296","null","286","null","373766","3274","null","null","47530","null","3259","null","28986","null","2961","null","18544","null","2372","null",
"0400000US11","District of Columbia","671803","null","*****","*****","319763","733","null","null","63042","null","704","null","61359","null","1340","null","1683","1081","null","null","230","275","null","null","1453","1076","null","null","256721","null","266","null","211287","null","5108","null","45434","null","5013","null","22531","null","3140","null","22903","null","3702","null","352040","null","733","null","61202","null","704","null","58370","982","null","null","2832","1045","null","null","364","358","null","null","2468","null","1014","null","290838","null","266","null","240889","3814","null","null","49949","null","3799","null","27720","null","2954","null","22229","null","2910","null",
"0400000US12","Florida","22244823","null","*****","*****","10953468","6169","null","null","2201637","null","5748","null","2049461","null","10559","null","152176","10049","null","null","40263","4999","null","null","111913","8645","null","null","8751831","null","3421","null","6603572","null","23141","null","2148259","null","23443","null","1210200","null","22241","null","938059","null","21897","null","11291355","null","6169","null","2093257","null","5748","null","1950603","11661","null","null","142654","9598","null","null","37607","4151","null","null","105047","null","8233","null","9198098","null","3085","null","6823914","19732","null","null","2374184","null","20039","null","1504214","null","21103","null","869970","null","17653","null",
"0400000US13","Georgia","10912876","null","*****","*****","5323951","9254","null","null","1281905","null","7697","null","1240938","null","8946","null","40967","4569","null","null","10862","2329","null","null","30105","4094","null","null","4042046","null","4957","null","3499693","null","11956","null","542353","null","11471","null","270302","null","8854","null","272051","null","9389","null","5588925","null","9254","null","1223763","null","8358","null","1187595","8995","null","null","36168","4061","null","null","9780","1881","null","null","26388","null","3645","null","4365162","null","3923","null","3816628","13386","null","null","548534","null","12863","null","298766","null","11376","null","249768","null","8198","null",
