geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
United States,Total,0100000US,1,326569310,0,253272570,3841,304900365,130029,233440760,120874
United States,Not Hispanic or Latino,0100000US,2,267208290,1827,212381945,3266,257388820,48491,203565570,44168
United States,American Indian or Alaska Native Alone,0100000US,3,2093815,8137,1560125,6436,2082035,8113,1549530,6449
United States,Asian Alone,0100000US,4,18344375,22959,14672715,11922,13410800,21967,10208325,18370
United States,Black or African American Alone,0100000US,5,40353390,33692,30498995,16489,38774900,32649,29128205,19106
United States,Native Hawaiian or Other Pacific Islander Alone,0100000US,6,565340,4950,426850,3053,481885,5132,353500,3398
United States,White Alone,0100000US,7,197456695,1546,160561715,1219,194456590,23893,157837455,20402
United States,American Indian or Alaska Native and White,0100000US,8,1635905,8684,1236340,7095,1632240,8717,1232850,7106
United States,Asian and White,0100000US,9,2331955,23498,1206675,12456,2201025,23455,1105140,12685
United States,Black or African American and White,0100000US,10,2826565,28898,1195480,14277,2794520,29042,1167775,14492
United States,American Indian or Alaska Native and Black or African American,0100000US,11,268790,4894,202900,4000,267535,4929,201715,4031
United States,Remainder of Two or More Race Responses,0100000US,12,1331460,14362,820150,10081,1287290,14167,781065,9653
United States,Hispanic or Latino,0100000US,13,59361020,1843,40890625,2104,47511540,90918,29875190,85249
