geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
Alabama,Total,0400000US01,1,4893185,0,3800275,544,4792060,2781,3709180,2427
Alabama,Not Hispanic or Latino,0400000US01,2,4680235,536,3671630,517,4636065,2213,3632370,1802
Alabama,American Indian or Alaska Native Alone,0400000US01,3,21335,1057,17910,932,21305,1059,17880,933
Alabama,Asian Alone,0400000US01,4,68615,1357,53295,893,44725,1567,32205,1153
Alabama,Black or African American Alone,0400000US01,5,1296800,2744,977310,1576,1290900,2991,972205,1676
Alabama,Native Hawaiian or Other Pacific Islander Alone,0400000US01,6,1920,315,1375,249,1750,299,1300,248
Alabama,White Alone,0400000US01,7,3203500,29,2570920,68,3190265,1273,2558830,1120
Alabama,American Indian or Alaska Native and White,0400000US01,8,27650,1050,22390,898,27630,1053,22370,903
Alabama,Asian and White,0400000US01,9,14935,1369,7985,806,14440,1334,7550,807
Alabama,Black or African American and White,0400000US01,10,33420,2310,12590,1336,33275,2309,12455,1315
Alabama,American Indian or Alaska Native and Black or African American,0400000US01,11,3625,589,2680,480,3615,589,2675,479
Alabama,Remainder of Two or More Race Responses,0400000US01,12,8430,980,5170,608,8165,986,4905,620
Alabama,Hispanic or Latino,0400000US01,13,212950,536,128645,424,155995,1880,76810,1621
Alaska,Total,0400000US02,1,736990,0,553630,220,713205,1386,532555,1189
Alaska,Not Hispanic or Latino,0400000US02,2,683930,82,518955,193,664080,1220,501270,1093
Alaska,American Indian or Alaska Native Alone,0400000US02,3,104570,1474,71225,1099,104505,1475,71165,1092
Alaska,Asian Alone,0400000US02,4,45985,1207,35875,773,33485,1214,24660,864
Alaska,Black or African American Alone,0400000US02,5,23010,948,17900,578,21525,857,16790,627
Alaska,Native Hawaiian or Other Pacific Islander Alone,0400000US02,6,10410,362,6410,232,9295,559,5585,392
Alaska,White Alone,0400000US02,7,443925,5,356190,22,439605,547,352015,538
Alaska,American Indian or Alaska Native and White,0400000US02,8,28635,1550,18335,1048,28555,1544,18260,1029
Alaska,Asian and White,0400000US02,9,9140,818,4460,552,9045,833,4415,562
Alaska,Black or African American and White,0400000US02,10,6495,897,2910,532,6465,894,2895,531
Alaska,American Indian or Alaska Native and Black or African American,0400000US02,11,1455,404,585,156,1445,401,575,153
Alaska,Remainder of Two or More Race Responses,0400000US02,12,10310,1143,5065,627,10155,1130,4915,617
Alaska,Hispanic or Latino,0400000US02,13,53060,82,34675,134,49125,684,31285,560
Arizona,Total,0400000US04,1,7174065,0,5534420,216,6655240,9368,5049925,8269
Arizona,Not Hispanic or Latino,0400000US04,2,4913375,0,4003510,219,4746865,5165,3853720,4312
Arizona,American Indian or Alaska Native Alone,0400000US04,3,272990,2426,196660,1568,272345,2437,196155,1581
Arizona,Asian Alone,0400000US04,4,234810,2872,190070,1894,161120,3037,123540,2408
Arizona,Black or African American Alone,0400000US04,5,309600,3556,231310,2172,294415,3794,219470,2519
Arizona,Native Hawaiian or Other Pacific Islander Alone,0400000US04,6,13495,543,10410,405,11765,619,8940,491
Arizona,White Alone,0400000US04,7,3908225,31,3274165,31,3835635,3663,3206955,3183
Arizona,American Indian or Alaska Native and White,0400000US04,8,36900,2283,26640,1579,36860,2285,26610,1580
Arizona,Asian and White,0400000US04,9,52125,2496,28710,1643,50280,2335,27150,1519
Arizona,Black or African American and White,0400000US04,10,52010,3163,24805,1799,51760,3121,24650,1791
Arizona,American Indian or Alaska Native and Black or African American,0400000US04,11,6155,846,3550,561,6155,846,3550,561
Arizona,Remainder of Two or More Race Responses,0400000US04,12,27055,2307,17190,1638,26530,2281,16695,1604
Arizona,Hispanic or Latino,0400000US04,13,2260690,0,1530910,0,1908375,7578,1196205,6938
Arkansas,Total,0400000US05,1,3011875,0,2309040,544,2913755,2949,2219480,2664
Arkansas,Not Hispanic or Latino,0400000US05,2,2782245,142,2166305,515,2747505,2016,2136025,1826
Arkansas,American Indian or Alaska Native Alone,0400000US05,3,15960,1018,12855,824,15960,1018,12855,824
Arkansas,Asian Alone,0400000US05,4,46100,1073,35725,769,29615,1176,20840,841
Arkansas,Black or African American Alone,0400000US05,5,457225,1763,334875,1039,454910,1782,332820,1135
Arkansas,Native Hawaiian or Other Pacific Islander Alone,0400000US05,6,10380,521,6220,329,4415,695,1840,413
Arkansas,White Alone,0400000US05,7,2175525,29,1732905,29,2166595,1147,1724685,1059
Arkansas,American Indian or Alaska Native and White,0400000US05,8,33730,1145,25945,890,33680,1152,25900,894
Arkansas,Asian and White,0400000US05,9,9350,1018,4595,569,8750,1004,4210,516
Arkansas,Black or African American and White,0400000US05,10,25385,1692,7990,758,25215,1689,7875,755
Arkansas,American Indian or Alaska Native and Black or African American,0400000US05,11,2715,560,1990,414,2715,560,1990,414
Arkansas,Remainder of Two or More Race Responses,0400000US05,12,5880,917,3210,456,5650,875,3015,445
Arkansas,Hispanic or Latino,0400000US05,13,229630,138,142735,320,166250,2076,83450,1852
California,Total,0400000US06,1,39346025,0,30389380,454,34415900,30948,25774910,28872
California,Not Hispanic or Latino,0400000US06,2,23965095,0,19624700,437,22085845,14816,17913750,12809
California,American Indian or Alaska Native Alone,0400000US06,3,135305,2573,107785,1934,133520,2579,106245,1891
California,Asian Alone,0400000US06,4,5762995,11347,4700555,7383,4517525,14093,3555620,11408
California,Black or African American Alone,0400000US06,5,2173550,6797,1733055,4105,2106370,7225,1673410,4708
California,Native Hawaiian or Other Pacific Islander Alone,0400000US06,6,140155,1925,111835,1375,123885,2189,96875,1750
California,White Alone,0400000US06,7,14499970,7,12233735,31,13994825,7426,11778685,6388
