geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Total,5001600US0101,1,722795,567,558045,488,712325,1489,548785,1208
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Not Hispanic or Latino,5001600US0101,2,698595,567,542075,486,692640,1054,536825,878
"Congressional District 1 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native Alone,5001600US0101,3,5720,450,4820,420,5720,450,4820,420
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Asian Alone,5001600US0101,4,10950,557,8215,315,7985,708,5605,483
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Black or African American Alone,5001600US0101,5,195740,1243,143240,766,195220,1272,142725,828
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Native Hawaiian or Other Pacific Islander Alone,5001600US0101,6,115,68,105,67,85,62,75,59
"Congressional District 1 (116th Congress) (116th Congress), Alabama",White Alone,5001600US0101,7,471835,502,376895,427,469425,724,374820,625
"Congressional District 1 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native and White,5001600US0101,8,5640,451,4300,401,5640,451,4300,401
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Asian and White,5001600US0101,9,2340,570,1275,305,2305,561,1245,307
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Black or African American and White,5001600US0101,10,3930,838,1615,390,3930,838,1615,390
"Congressional District 1 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native and Black or African American,5001600US0101,11,330,122,295,118,330,122,295,118
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Remainder of Two or More Race Responses,5001600US0101,12,2000,758,1315,508,2000,758,1315,508
"Congressional District 1 (116th Congress) (116th Congress), Alabama",Hispanic or Latino,5001600US0101,13,24200,191,15970,113,19680,906,11965,726
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Total,5001600US0102,1,689680,2726,534405,2061,678280,3096,524280,2346
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Not Hispanic or Latino,5001600US0102,2,661340,2685,517525,2074,655850,2856,512720,2199
"Congressional District 2 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native Alone,5001600US0102,3,2005,232,1655,213,2005,232,1655,213
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Asian Alone,5001600US0102,4,9085,696,7315,563,6115,619,4640,497
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Black or African American Alone,5001600US0102,5,215090,2391,161665,1855,214340,2524,161105,1908
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Native Hawaiian or Other Pacific Islander Alone,5001600US0102,6,120,64,65,41,120,64,60,41
"Congressional District 2 (116th Congress) (116th Congress), Alabama",White Alone,5001600US0102,7,419910,1246,338390,930,418185,1282,336865,968
"Congressional District 2 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native and White,5001600US0102,8,4275,232,3535,212,4275,232,3535,212
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Asian and White,5001600US0102,9,1815,401,935,287,1780,401,905,286
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Black or African American and White,5001600US0102,10,6860,1092,2720,663,6860,1092,2720,663
"Congressional District 2 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native and Black or African American,5001600US0102,11,670,212,540,166,670,212,540,166
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Remainder of Two or More Race Responses,5001600US0102,12,1515,350,700,177,1505,350,690,178
"Congressional District 2 (116th Congress) (116th Congress), Alabama",Hispanic or Latino,5001600US0102,13,28340,362,16880,336,22425,727,11560,595
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Total,5001600US0103,1,731480,2128,570620,1618,717255,2135,557905,1648
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Not Hispanic or Latino,5001600US0103,2,707860,2131,555920,1620,698230,2135,547300,1621
"Congressional District 3 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native Alone,5001600US0103,3,1320,253,1140,230,1320,253,1140,230
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Asian Alone,5001600US0103,4,14250,625,10840,490,7525,581,4940,452
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Black or African American Alone,5001600US0103,5,187245,2102,142520,1338,186500,2128,141810,1363
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Native Hawaiian or Other Pacific Islander Alone,5001600US0103,6,250,166,215,154,250,168,215,154
"Congressional District 3 (116th Congress) (116th Congress), Alabama",White Alone,5001600US0103,7,489130,1369,392025,1064,487140,1449,390160,1190
"Congressional District 3 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native and White,5001600US0103,8,3875,325,3350,288,3870,326,3345,288
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Asian and White,5001600US0103,9,2205,362,1350,278,2125,375,1295,280
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Black or African American and White,5001600US0103,10,7270,973,2950,548,7190,968,2870,541
"Congressional District 3 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native and Black or African American,5001600US0103,11,615,380,360,206,615,380,360,206
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Remainder of Two or More Race Responses,5001600US0103,12,1700,467,1175,350,1700,467,1175,350
"Congressional District 3 (116th Congress) (116th Congress), Alabama",Hispanic or Latino,5001600US0103,13,23625,286,14705,169,19025,683,10605,624
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Total,5001600US0104,1,702255,2470,541105,2027,684420,2500,524770,2101
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Not Hispanic or Latino,5001600US0104,2,654695,2410,514355,1961,651510,2331,511525,1900
"Congressional District 4 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native Alone,5001600US0104,3,3375,524,2900,424,3375,524,2900,424
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Asian Alone,5001600US0104,4,3785,569,3060,373,2605,562,2025,342
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Black or African American Alone,5001600US0104,5,48700,1127,37310,657,48230,1131,36940,672
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Native Hawaiian or Other Pacific Islander Alone,5001600US0104,6,245,114,225,112,215,109,200,107
"Congressional District 4 (116th Congress) (116th Congress), Alabama",White Alone,5001600US0104,7,584395,2406,462590,1965,582915,2374,461220,1962
"Congressional District 4 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native and White,5001600US0104,8,7380,527,5810,436,7380,529,5805,436
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Asian and White,5001600US0104,9,1545,502,835,239,1520,494,805,237
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Black or African American and White,5001600US0104,10,4030,700,920,244,4030,700,920,244
"Congressional District 4 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native and Black or African American,5001600US0104,11,510,275,215,137,510,275,215,137
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Remainder of Two or More Race Responses,5001600US0104,12,730,248,490,216,730,248,490,216
"Congressional District 4 (116th Congress) (116th Congress), Alabama",Hispanic or Latino,5001600US0104,13,47560,639,26750,369,32905,1082,13245,804
"Congressional District 5 (116th Congress) (116th Congress), Alabama",Total,5001600US0105,1,751690,203,587190,107,734260,1218,571205,1104
"Congressional District 5 (116th Congress) (116th Congress), Alabama",Not Hispanic or Latino,5001600US0105,2,710665,204,562185,109,703635,894,555685,824
"Congressional District 5 (116th Congress) (116th Congress), Alabama",American Indian or Alaska Native Alone,5001600US0105,3,3555,398,2880,329,3505,388,2830,323
"Congressional District 5 (116th Congress) (116th Congress), Alabama",Asian Alone,5001600US0105,4,12810,637,10300,386,9300,790,7090,572
"Congressional District 5 (116th Congress) (116th Congress), Alabama",Black or African American Alone,5001600US0105,5,132450,1195,101525,689,131225,1198,100405,687
