table,line,name,geosubtype,tot_est,tot_moe,adu_est,adu_moe,dvap_est,dvap_moe,prop_adu_dvap_est,prop_adu_dvap_moe,wht_dvap_est,wht_dvap_moe,prop_wht_adu_dvap_est,prop_wht_adu_dvap_moe,his_dvap_est,his_dvap_moe,prop_his_adu_dvap_est,prop_his_adu_dvap_moe,asn_dvap_est,asn_dvap_moe,prop_asn_adu_dvap_est,prop_asn_adu_dvap_moe,blk_dvap_est,blk_dvap_moe,prop_blk_adu_dvap_est,prop_blk_adu_dvap_moe,ind_dvap_est,ind_dvap_moe,prop_ind_adu_dvap_est,prop_ind_adu_dvap_moe,pac_dvap_est,pac_dvap_moe,prop_pac_adu_dvap_est,prop_pac_adu_dvap_moe,tmr_dvap_est,tmr_dvap_moe,prop_tmr_adu_dvap_est,prop_tmr_adu_dvap_moe
Place,26560,Adelanto,charter,37230,49,24830,882,3380,1232,0.13612565445026178,0.046243606400369314,35,683,0.010752688172043012,0.20850756634022077,3235,1331,0.201181592039801,0.07479801449873753,85,302,0.19540229885057472,0.6309108711854332,0,1046,0.0,0.23644882864111252,0,51,0.0,1.0,25,87,0.35714285714285715,0.6428571428571429,0,486,0.0,0.8755870972815372
Place,26586,Agoura Hills,general law,20360,45,15880,602,710,830,0.044710327455919394,0.05103332400372489,295,1239,0.02416052416052416,0.10015719093043758,135,721,0.0712401055408971,0.36628497512038993,270,472,0.23893805309734514,0.3599765168307789,0,95,0.0,1.0,0,36,,,0,36,,,10,305,0.017857142857142856,0.5380917241149655
Place,26651,Alameda,charter,78320,43,61780,691,5560,1105,0.08999676270637746,0.017270656777766683,1040,1618,0.03696463479651679,0.05646692428188826,965,888,0.14392244593586875,0.12271365755147993,3200,1502,0.15818091942659418,0.06845549730306763,180,839,0.04986149584487535,0.22660938958339277,0,115,0.0,0.5727564927611035,10,220,0.03225806451612903,0.6957953100039674,160,654,0.06177606177606178,0.24420422903933708
Place,26677,Albany,charter,19960,47,14790,329,2535,579,0.17139959432048682,0.037088316123562386,365,684,0.05148095909732017,0.0939006089895068,305,357,0.19488817891373802,0.20338950433349962,1795,631,0.3881081081081081,0.11162946250721782,45,230,0.08181818181818182,0.40121390287593284,0,73,0.0,1.0,5,48,0.14285714285714285,0.8571428571428571,20,340,0.023121387283236993,0.3878388274801119
Place,26716,Alhambra,charter,83175,59,68630,717,12220,1340,0.17805624362523678,0.018595661815131972,230,843,0.0323943661971831,0.11677014548555231,2855,1383,0.12456369982547993,0.056431833149856656,9030,1742,0.2523403660751712,0.04208154302666052,20,636,0.013793103448275862,0.435386754508617,0,211,0.0,0.8966715778450688,45,238,0.1956521739130435,0.8043478260869565,35,384,0.03867403314917127,0.41526502186688163
Place,26742,Aliso Viejo,general law,51945,40,38535,698,4165,1117,0.1080835603996367,0.027804071960946638,1445,1560,0.0632523528124316,0.06598909498950387,1165,1104,0.160578911095796,0.13771810484925157,1535,734,0.2528830313014827,0.10351391366651165,5,532,0.005291005291005291,0.5612057504645359,0,180,0.0,1.0,0,6,0.0,1.0,5,488,0.0037735849056603774,0.36700481717125094
Place,26924,Alturas,general law,2695,21,2130,142,35,206,0.01643192488262911,0.09553820784705795,15,252,0.00974025974025974,0.16266691955873155,25,210,0.06172839506172839,0.5007170965285657,0,19,,,0,46,0.0,0.5745922467280602,0,71,0.0,1.0,0,19,,,0,91,0.0,1.0
Place,26950,Amador City,general law,185,94,155,77,5,110,0.03225806451612903,0.6959569127390479,5,89,0.041666666666666664,0.7216560948887797,0,40,0.0,1.0,0,5,0.0,1.0,0,19,,,0,19,,,0,19,,,0,44,0.0,1.0
Place,26976,American Canyon,general law,21735,41,16295,350,2090,608,0.12826020251610923,0.0357889736536089,85,568,0.023876404494382022,0.15740741202906486,1245,616,0.2623814541622761,0.11416442619702714,760,469,0.13298337707786526,0.07689045660054723,0,268,0.0,0.21555351878106047,0,138,0.0,1.0,0,176,0.0,1.0,0,290,0.0,0.36014134197078823
Place,27002,Anaheim,charter,348205,86,266690,1849,59760,3524,0.22408039296561552,0.012465780927695394,3080,3289,0.04277183724482711,0.04466666143633437,46740,3677,0.35516717325227964,0.0233270506824739,8960,2777,0.17991967871485945,0.049780066297120916,715,1433,0.09923664122137404,0.18626909450749238,0,170,0.0,0.7221516063181762,55,519,0.04583333333333333,0.42193095309389544,210,927,0.045307443365695796,0.195301459535932
