table,line,geoid,geoname,geosubtype,geotype,name,state,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe,dvap_est,dvap_moe,tot_est,tot_moe,asn_adu_est,asn_adu_moe,asn_cit_est,asn_cit_moe,asn_cvap_est,asn_cvap_moe,asn_dvap_est,asn_dvap_moe,asn_tot_est,asn_tot_moe,blk_adu_est,blk_adu_moe,blk_cit_est,blk_cit_moe,blk_cvap_est,blk_cvap_moe,blk_dvap_est,blk_dvap_moe,blk_tot_est,blk_tot_moe,his_adu_est,his_adu_moe,his_cit_est,his_cit_moe,his_cvap_est,his_cvap_moe,his_dvap_est,his_dvap_moe,his_tot_est,his_tot_moe,ind_adu_est,ind_adu_moe,ind_cit_est,ind_cit_moe,ind_cvap_est,ind_cvap_moe,ind_dvap_est,ind_dvap_moe,ind_tot_est,ind_tot_moe,pac_adu_est,pac_adu_moe,pac_cit_est,pac_cit_moe,pac_cvap_est,pac_cvap_moe,pac_dvap_est,pac_dvap_moe,pac_tot_est,pac_tot_moe,tmr_adu_est,tmr_adu_moe,tmr_cit_est,tmr_cit_moe,tmr_cvap_est,tmr_cvap_moe,tmr_dvap_est,tmr_dvap_moe,tmr_tot_est,tmr_tot_moe,wht_adu_est,wht_adu_moe,wht_cit_est,wht_cit_moe,wht_cvap_est,wht_cvap_moe,wht_dvap_est,wht_dvap_moe,wht_tot_est,wht_tot_moe,prop_adu_asn_est,prop_adu_asn_moe,prop_adu_blk_est,prop_adu_blk_moe,prop_adu_dvap_est,prop_adu_dvap_moe,prop_adu_his_est,prop_adu_his_moe,prop_adu_ind_est,prop_adu_ind_moe,prop_adu_pac_est,prop_adu_pac_moe,prop_adu_tmr_est,prop_adu_tmr_moe,prop_adu_wht_est,prop_adu_wht_moe,prop_cit_asn_est,prop_cit_asn_moe,prop_cit_blk_est,prop_cit_blk_moe,prop_cit_his_est,prop_cit_his_moe,prop_cit_ind_est,prop_cit_ind_moe,prop_cit_pac_est,prop_cit_pac_moe,prop_cit_tmr_est,prop_cit_tmr_moe,prop_cit_wht_est,prop_cit_wht_moe,prop_cvap_asn_est,prop_cvap_asn_moe,prop_cvap_blk_est,prop_cvap_blk_moe,prop_cvap_his_est,prop_cvap_his_moe,prop_cvap_ind_est,prop_cvap_ind_moe,prop_cvap_pac_est,prop_cvap_pac_moe,prop_cvap_tmr_est,prop_cvap_tmr_moe,prop_cvap_wht_est,prop_cvap_wht_moe,prop_dvap_asn_est,prop_dvap_asn_moe,prop_dvap_blk_est,prop_dvap_blk_moe,prop_dvap_his_est,prop_dvap_his_moe,prop_dvap_ind_est,prop_dvap_ind_moe,prop_dvap_pac_est,prop_dvap_pac_moe,prop_dvap_tmr_est,prop_dvap_tmr_moe,prop_dvap_wht_est,prop_dvap_wht_moe,prop_tot_asn_est,prop_tot_asn_moe,prop_tot_blk_est,prop_tot_blk_moe,prop_tot_his_est,prop_tot_his_moe,prop_tot_ind_est,prop_tot_ind_moe,prop_tot_pac_est,prop_tot_pac_moe,prop_tot_tmr_est,prop_tot_tmr_moe,prop_tot_wht_est,prop_tot_wht_moe,racial_disp_asn_est,racial_disp_asn_moe,racial_disp_blk_est,racial_disp_blk_moe,racial_disp_his_est,racial_disp_his_moe,racial_disp_ind_est,racial_disp_ind_moe,racial_disp_pac_est,racial_disp_pac_moe,racial_disp_tmr_est,racial_disp_tmr_moe,racial_disp_wht_est,racial_disp_wht_moe,prop_asn_adu_dvap_est,prop_asn_adu_dvap_moe,prop_blk_adu_dvap_est,prop_blk_adu_dvap_moe,prop_his_adu_dvap_est,prop_his_adu_dvap_moe,prop_ind_adu_dvap_est,prop_ind_adu_dvap_moe,prop_pac_adu_dvap_est,prop_pac_adu_dvap_moe,prop_tmr_adu_dvap_est,prop_tmr_adu_dvap_moe,prop_wht_adu_dvap_est,prop_wht_adu_dvap_moe
Place,25130,16000US0600296,"Adelanto city, California",charter,city,Adelanto,California,21995,653,29610,532,18090,794,3905,1029,33660,33,485,225,345,248,290,213,195,310,540,257,4200,531,5970,763,4200,531,0,751,5970,763,13845,746,18345,1088,10175,800,3670,1094,22155,1049,10,15,10,15,10,15,0,22,10,15,30,57,45,114,25,41,5,71,50,134,409,231,869,406,409,231,0,327,869,406,3025,507,4025,852,2980,505,45,716,4070,854,0.02205046601500341,0.010250523406203967,0.19095248920209137,0.024798542273412254,0.17754035007956354,0.043581733424765595,0.6294612411911799,0.038724452118271024,0.0004546487838145033,0.0006821067401110411,0.00136394635144351,0.0025918144161228146,0.018595135258013186,0.010516886619297542,0.13753125710388725,0.02340953258742962,0.01165146909827761,0.00837816455415548,0.2016210739614995,0.026021701432519154,0.6195542046605876,0.038393441938342786,0.00033772374197906115,0.0005066219518212795,0.001519756838905775,0.003850147484733172,0.029348193177980413,0.013721719095509653,0.1359338061465721,0.028877527019521693,0.016030956329463792,0.011795466115601425,0.23217247097844113,0.031071808302394522,0.5624654505251521,0.05064757910447905,0.000552791597567717,0.0008295423005339619,0.0013819789939192924,0.002267257097112731,0.022609176340519625,0.01280798723240267,0.16473189607517966,0.028837124236981475,0.0499359795134443,0.08046856280481263,0.0,0.19231754161331624,0.939820742637644,0.37392095505520634,0.0,0.005633802816901408,0.0012804097311139564,0.018184948452658726,0.0,0.08373879641485274,0.011523687580025609,0.18337981665606018,0.016042780748663103,0.0076351914820278356,0.17736185383244207,0.0226685219400948,0.6581996434937611,0.03117126705563135,0.00029708853238265005,0.00044563289375803905,0.0014854426619132501,0.0039809866003008435,0.025816993464052286,0.012061820971098224,0.12091503267973856,0.025371637604482786,-0.006019509685539617,0.0156270998904287,0.04121998177634975,0.03975455911045886,-0.06699579066602779,0.06375547396894425,9.814281375321364e-05,0.0010739692887974449,1.8032642475782502e-05,0.0034435383999645037,0.004014041082506439,0.016572550832884763,0.027200638971292407,0.037142777901242575,0.4020618556701031,0.5194442507442497,0.0,0.1787970003857413,0.2650776453593355,0.07004949169559753,0.0,2.121320343559643,0.16666666666666666,2.0915836636917544,0.0,0.7987367552767359,0.01487603305785124,0.23479992373169103
Place,25156,16000US0600394,"Agoura Hills city, California",general law,city,Agoura Hills,California,16140,393,19320,468,15050,497,1090,634,20535,54,1465,262,1555,299,1190,219,275,342,1840,385,265,172,340,236,265,172,0,244,450,289,1500,343,1800,445,1135,273,365,439,2165,546,0,23,0,23,0,23,0,33,0,23,0,23,0,23,0,23,0,33,0,23,325,162,710,280,315,160,10,228,720,283,12585,479,14915,670,12145,470,440,672,15355,631,0.09076827757125155,0.016382729796226396,0.01641883519206939,0.01066424984804982,0.06753407682775713,0.03825873443795264,0.09293680297397769,0.021371694307167673,0.0,0.0014250309789343248,0.0,0.0014250309789343248,0.0201363073110285,0.010049143156307866,0.7797397769516728,0.03523137562482941,0.08048654244306418,0.015598515967828831,0.017598343685300208,0.01222275716135097,0.09316770186335403,0.023143429134059406,0.0,0.0011904761904761904,0.0,0.0011904761904761904,0.03674948240165631,0.014520067915237706,0.7719979296066253,0.03939988033201536,0.07906976744186046,0.014783912383474124,0.01760797342192691,0.011443354197739727,0.07541528239202658,0.018309699824354157,0.0,0.0015282392026578074,0.0,0.0015282392026578074,0.020930232558139535,0.010653674059864808,0.8069767441860465,0.041054041772379354,0.25229357798165136,0.34638261127752346,0.0,0.22385321100917432,0.3348623853211009,0.4473767949499981,0.0,0.030275229357798167,0.0,0.030275229357798167,0.009174311926605505,0.20924236747461722,0.4036697247706422,0.6597104925772983,0.08960311663014366,0.018749958785525638,0.02191380569758948,0.014073650969837237,0.10542975407840273,0.026590196302114132,0.0,0.0011200389578767957,0.0,0.0011200389578767957,0.03506208911614317,0.01378165733972756,0.7477477477477478,0.030790874525248625,-0.01169851012939109,0.022067122624810052,0.0011891382298575177,0.015642141161508485,-0.01752152058195111,0.028142395513121796,0.0,0.0020895521892172714,0.0,0.0020895521892172714,0.0007939252471110339,0.014645342233959762,0.027236967234373632,0.05409883708792725,0.18771331058020477,0.20844607530607281,0.0,0.9179046518044239,0.24333333333333335,0.2511204061308213,0.0,23.0,0.0,23.0,0.03076923076923077,0.6897651157089055,0.03496225665474772,0.05238182232577537
Place,25221,16000US0600562,"Alameda city, California",charter,city,Alameda,California,62565,524,72155,810,56575,831,5990,983,78520,53,19840,940,20150,964,16600,789,3240,1228,23620,1108,4330,510,5515,703,4160,484,170,704,5685,719,7120,695,8885,730,6035,554,1085,889,10050,899,180,89,205,98,180,89,0,126,205,98,240,122,240,126,210,112,30,166,270,136,2515,452,4695,728,2375,431,140,625,4860,739,28340,1043,32460,1204,27015,1001,1325,1446,33830,1232,0.31711020538639817,0.015257312491335755,0.06920802365539838,0.008172104811401886,0.09574042995284904,0.015289650410238529,0.11380164628786063,0.011149261886224537,0.0028770079117717575,0.0014227246405735707,0.0038360105490290097,0.001950236678794717,0.0401981938783665,0.00723232696936366,0.4529689123311756,0.017096885571519872,0.2792599265470168,0.013723001275854511,0.07643267964798005,0.009780622848926654,0.12313768969579378,0.010211107281093052,0.0028411059524634467,0.0013585616588273795,0.00332617282239623,0.001746639888118963,0.06506825583812625,0.01011579750163795,0.44986487422909016,0.01743376637805438,0.29341581970835173,0.014596849907425597,0.07353071144498453,0.00862292322694175,0.10667255855059656,0.00991687426720016,0.003181617322138754,0.0015738270062625474,0.003711886875828546,0.0019804236489074437,0.04197967300044189,0.007643119652152753,0.477507733097658,0.0190328142333954,0.5409015025041736,0.22340045006256223,0.028380634390651086,0.11762146216845955,0.18113522537562604,0.15136158523758556,0.0,0.021035058430717863,0.005008347245409015,0.02772504003827999,0.02337228714524207,0.10441104113630403,0.22120200333889817,0.24411643492539128,0.3008150789607743,0.014112515266894023,0.07240193581253183,0.009157033109628052,0.1279928680590932,0.011449638224226297,0.0026107997962302597,0.0012480909028057684,0.003438614365766684,0.0017320443467847375,0.0618950585838003,0.009411707602323882,0.43084564442180334,0.015692964858976623,-0.023694385678046437,0.02111524595353274,0.004322687789586152,0.011880155808164697,-0.007129087737264075,0.014921475658897676,0.0003046094103669964,0.0021215741440111227,-0.00012412367320046355,0.0027794785360689732,0.001781479122075394,0.010522539209188463,0.024538820766482394,0.025584204382559622,0.16330645161290322,0.056151332807427234,0.03926096997690531,0.1590574230780196,0.1523876404494382,0.1135769479576214,0.0,0.6992500391733637,0.125,0.6446839570781088,0.055666003976143144,0.24118921911524493,0.04675370501058575,0.049783095702994856
Place,25247,16000US0600674,"Albany city, California",charter,city,Albany,California,14665,241,16290,629,11605,538,3060,590,19805,30,4650,405,3750,417,2680,301,1970,505,6035,554,505,196,485,202,425,183,80,269,580,209,1975,376,2365,436,1420,265,555,461,2975,505,105,61,125,66,105,61,0,87,125,66,85,61,85,61,85,61,0,87,85,61,545,152,1180,237,520,147,25,212,1210,242,6790,434,8305,572,6360,458,430,631,8800,568,0.3170814865325605,0.02810407194522715,0.03443573133310603,0.013377130531813948,0.20866007500852368,0.03892277081056845,0.1346743948175929,0.025734622094595053,0.007159904534606206,0.004161227458329272,0.005796113194681214,0.0041606540448668,0.03716331401295602,0.010382791746862696,0.4630071599045346,0.03055677525168259,0.2302025782688766,0.027097861564148076,0.029772866789441375,0.012453420851547704,0.14518109269490484,0.02734564740776173,0.007673419275629221,0.00406238481403009,0.0052179251074278695,0.0037500448987211692,0.07243707796193984,0.014815222062616791,0.5098219766728054,0.04025524113355145,0.23093494183541577,0.028059778095740805,0.03662214562688496,0.015860197449534572,0.12236105127100388,0.02352901731617512,0.00904782421370099,0.0052730643152340845,0.007324429125376993,0.005267311088499644,0.04480827229642396,0.012836152813227463,0.5480396380870315,0.046936639590435224,0.6437908496732027,0.20650410415058276,0.026143790849673203,0.08805290128536407,0.18137254901960784,0.15465911928282508,0.0,0.028431372549019607,0.0,0.028431372549019607,0.008169934640522876,0.06929895171887566,0.14052287581699346,0.2079815224629688,0.30472103004291845,0.027976542212910772,0.0292855339560717,0.010552983922773271,0.15021459227467812,0.025499626685784777,0.006311537490532693,0.0033325055089704833,0.004291845493562232,0.0030800371565077134,0.06109568290835648,0.012219487040592867,0.44433223933350163,0.02868752304893227,-0.08614654469714475,0.039713851572023576,0.0021864142937789294,0.020748336906928514,-0.012313343546589028,0.03486954875269378,0.0018879196790947848,0.006717218265960144,0.0015283159306957788,0.0067123474421470295,0.007644958283467937,0.016509669394123173,0.08503247818249687,0.05600682681445408,0.4236559139784946,0.08191420015759422,0.15841584158415842,0.4878593322206796,0.2810126582278481,0.19167637159124215,0.0,0.8215907362357981,0.0,1.0149062035853975,0.045871559633027525,0.37889789372223087,0.06332842415316642,0.09018966184558605
Place,25286,16000US0600884,"Alhambra city, California",charter,city,Alhambra,California,70315,496,69830,975,56645,928,13670,1053,84645,120,37635,983,32420,1067,27780,1025,9855,1421,43295,1103,1315,339,1660,493,1280,335,35,477,1715,503,23300,957,26860,1107,19825,882,3475,1302,30410,1241,245,118,235,116,235,116,10,166,245,118,130,120,185,226,105,110,25,163,210,233,790,250,1245,336,760,245,30,351,1270,340,6905,546,7230,550,6665,530,240,761,7500,569,0.5352343027803456,0.01448079888776869,0.01870155727796345,0.004822966426985008,0.19441086539145275,0.014369156453343324,0.3313659958757022,0.013809443489629439,0.003484320557491289,0.0016783425309216935,0.0018488231529545616,0.0017066558170724844,0.011235156083339259,0.003556312321162425,0.0982009528550096,0.0077958935709723995,0.464270370900759,0.01659814500161937,0.023772017757410856,0.007067800852535458,0.3846484319060576,0.016737820737532664,0.0033653157668623803,0.001661841566489101,0.002649291135615065,0.0032366427181300147,0.01782901331805814,0.004818120724472136,0.10353716167836173,0.008007840296395568,0.49042280872098154,0.01979866800017418,0.022596875275840762,0.005925601232028707,0.34998675964339304,0.01659280596380588,0.00414864507017389,0.00204896938120078,0.0018536499249713126,0.001942156401742733,0.013416894695030452,0.004330764802807803,0.11766263571365522,0.009553021569650998,0.7209217264081931,0.11785382841381689,0.002560351133869788,0.03489448566971479,0.25420629114850035,0.09723711922149444,0.000731528895391368,0.012143510404188032,0.0018288222384784199,0.011924753138833016,0.0021945866861741038,0.025677220711221922,0.01755669348939283,0.05568577354555683,0.5114891606119676,0.013051053834655055,0.020261090436529034,0.0059425350118579145,0.35926516628271016,0.014670076407141778,0.002894441490932719,0.00139406357358584,0.002480949849370902,0.00275267517515285,0.015003839565243074,0.004016832265485594,0.0886053517632465,0.006723366235277061,-0.04481149405936402,0.02452918243662279,0.003895317997877311,0.007640271926891389,0.01862076376769084,0.02158754129690968,0.0006643245126826012,0.0026486051378412268,4.826772016750967e-06,0.0025854681523425557,0.0021817386116911933,0.005603827361981326,0.01946168285864562,0.012330295117317591,0.2618573136707852,0.033368704961664886,0.026615969581749048,0.3575842517816776,0.14914163090128754,0.05151934636437062,0.04081632653061224,0.6615084290843826,0.19230769230769232,1.1277584942334864,0.0379746835443038,0.4345816737081597,0.03475742215785663,0.10824485241600708
Place,25312,16000US0600947,"Aliso Viejo city, California",general law,city,Aliso Viejo,California,38200,411,46630,536,34570,588,3630,718,50665,77,6155,498,6375,472,4780,383,1375,629,7895,560,990,313,1145,381,970,308,20,440,1165,386,6500,455,8270,613,5655,423,845,622,9190,647,85,122,85,122,85,122,0,173,85,122,30,43,45,52,30,43,0,61,45,52,1000,243,2325,467,1000,243,0,344,2325,467,23440,748,28395,995,22060,756,1380,1064,29960,947,0.16112565445026178,0.013151407232501756,0.025916230366492148,0.008198460395480176,0.09502617801047121,0.018213697987151237,0.17015706806282724,0.012050868546776481,0.002225130890052356,0.003193807007034745,0.0007853403141361257,0.0011256861628359278,0.02617801047120419,0.006367488790602534,0.6136125654450262,0.020664156061513155,0.1367145614411323,0.010243501839623907,0.02455500750589749,0.008175579265993896,0.17735363499892773,0.0133031758418875,0.0018228608192150976,0.0026164253135107967,0.0009650439631138752,0.0011152170843663665,0.04986060476088355,0.010031397956405182,0.6089427407248552,0.02245692598492857,0.13827017645357245,0.011325842081535703,0.02805901070292161,0.008922232514033023,0.16358113971651722,0.012548394096103454,0.002458779288400347,0.003529319242380797,0.0008678044547295343,0.0012439406278149363,0.028926815157651144,0.007046414531909625,0.6381255423777842,0.02441403340544279,0.3787878787878788,0.18878233651768545,0.005509641873278237,0.12121702010063864,0.2327823691460055,0.1774282250071783,0.0,0.047658402203856746,0.0,0.01680440771349862,0.0,0.09476584022038567,0.38016528925619836,0.30260456440852457,0.15582749432547124,0.011055532008067822,0.02299417744004737,0.007618751814256449,0.1813875456429488,0.01277313202608026,0.0016776867660120399,0.002407975296422636,0.0008881871114181387,0.001026350438636486,0.045889667423270504,0.009217672313151334,0.5913352412908319,0.01871299718257754,-0.022855477996689327,0.017356100110652292,0.002142780336429461,0.012116970986625536,-0.006575928346310017,0.01739786271709289,0.0002336483983479908,0.004759884191114695,8.246414059340863e-05,0.0016776643355358345,0.0027488046864469554,0.009497203338560044,0.024512976932758,0.03198518989871167,0.22339561332250202,0.08843236105742289,0.020202020202020204,0.439033452302044,0.13,0.0891280871395755,0.0,2.029812407170795,0.0,2.0270394394014364,0.0,0.3436538956566621,0.05887372013651877,0.04407017528465702
Place,25481,16000US0601444,"Alturas city, California",general law,city,Alturas,California,2015,104,2465,112,1915,144,100,178,2565,25,10,18,0,12,0,12,10,22,10,18,55,28,80,46,55,28,0,40,80,46,340,128,365,153,250,116,90,173,460,165,35,51,50,56,35,51,0,73,50,56,0,12,0,12,0,12,0,17,0,12,30,38,30,38,30,38,0,54,30,38,1540,151,1930,182,1540,151,0,214,1930,182,0.004962779156327543,0.008936674034255401,0.02729528535980149,0.01396701233440037,0.04962779156327544,0.0866784444191834,0.1687344913151365,0.06411777359141288,0.017369727047146403,0.025326046049389067,0.0,0.005955334987593052,0.01488833746898263,0.018874209927328866,0.7642679900744417,0.08468584674378916,0.0,0.00486815415821501,0.032454361054766734,0.018719427874365712,0.14807302231237324,0.06243252838229381,0.02028397565922921,0.022736739269294575,0.0,0.00486815415821501,0.012170385395537525,0.015425736086398724,0.7829614604462475,0.08195713330710468,0.0,0.006266318537859007,0.028720626631853787,0.01478004761611899,0.13054830287206268,0.0613647031885432,0.018276762402088774,0.026667291501218836,0.0,0.006266318537859007,0.015665796344647518,0.01987827741353773,0.804177545691906,0.09936913236692484,0.1,0.28299116593985757,0.0,0.4,0.9,2.3578176350176028,0.0,0.73,0.0,0.17,0.0,0.54,0.0,2.14,0.003898635477582846,0.007017646735212112,0.031189083820662766,0.01793629939265439,0.1793372319688109,0.06435122859325179,0.01949317738791423,0.0218331853435039,0.0,0.004678362573099415,0.011695906432748537,0.014815253386306411,0.7524366471734892,0.07133315186501925,-0.004962779156327543,0.010914709836383657,0.0014253412720522975,0.02033536921435253,-0.03818618844307381,0.08875086302531197,0.0009070353549423711,0.03677707226665486,0.0,0.008644811324278013,0.0007774588756648878,0.027411342785614204,0.03990955561746434,0.1305600134270366,1.0,1.2000000000000002,0.0,0.719963268117212,0.2647058823529412,0.439350451347655,0.0,2.0607111908865097,0.0,12.0,0.0,1.7913371790059205,0.0,0.1386663947521671
Place,25507,16000US0601514,"Amador City city, California",general law,city,Amador City,California,130,56,165,79,125,57,5,80,165,80,0,12,0,12,0,12,0,17,0,12,0,12,0,12,0,12,0,17,0,12,30,32,35,35,30,32,0,46,35,35,0,12,0,12,0,12,0,17,0,12,0,12,0,12,0,12,0,17,0,12,4,30,15,35,4,30,0,43,15,35,90,48,115,70,90,48,0,68,115,70,0.0,0.09230769230769231,0.0,0.09230769230769231,0.038461538461538464,0.6031675895358514,0.23076923076923078,0.265468873710011,0.0,0.09230769230769231,0.0,0.09230769230769231,0.03076923076923077,0.23114955763113082,0.6923076923076923,0.4746255611948422,0.0,0.07272727272727272,0.0,0.07272727272727272,0.21212121212121213,0.23518090610380907,0.0,0.07272727272727272,0.0,0.07272727272727272,0.09090909090909091,0.21654084182016822,0.696969696969697,0.5397571245723246,0.0,0.096,0.0,0.096,0.24,0.2784117698661463,0.0,0.096,0.0,0.096,0.032,0.24044318760156214,0.72,0.5052227453312054,0.0,3.4000000000000004,0.0,3.4000000000000004,0.0,9.200000000000001,0.0,3.4000000000000004,0.0,3.4000000000000004,0.0,8.6,0.0,13.600000000000001,0.0,0.07272727272727272,0.0,0.07272727272727272,0.21212121212121213,0.23573892699035032,0.0,0.07272727272727272,0.0,0.07272727272727272,0.09090909090909091,0.21665226160916543,0.696969696969697,0.54237877765656,0.0,0.13317924034612752,0.0,0.13317924034612752,0.009230769230769209,0.38469057242004484,0.0,0.13317924034612752,0.0,0.13317924034612752,0.0012307692307692297,0.33353117464049364,0.027692307692307683,0.6931950993331668,0.0,12.0,0.0,12.0,0.0,1.5084944665313014,0.0,12.0,0.0,12.0,0.0,10.606601717798213,0.0,0.7542472332656507
Place,25520,16000US0601640,"American Canyon city, California",general law,city,American Canyon,California,15065,271,17835,321,12770,390,2295,475,20260,37,5635,318,6245,376,4585,315,1050,448,7420,388,1170,155,1560,190,1160,156,10,220,1575,191,3800,321,4590,382,2720,348,1080,474,5670,357,120,90,125,93,120,90,0,128,125,93,105,76,120,85,105,76,0,108,120,85,595,173,980,251,585,173,10,245,985,251,3645,306,4215,346,3495,291,150,423,4365,364,0.37404580152671757,0.022155002409954803,0.0776634583471623,0.010383166375175147,0.1523398606040491,0.030044806066186557,0.2522402920677066,0.021785439586391134,0.007965482907401261,0.005975830321205331,0.0069697975439761035,0.005046363596295343,0.039495519415864586,0.01150552824249471,0.2419515433123133,0.020773058342426008,0.3501541911970844,0.02200396008245172,0.08746846089150546,0.010768902296507671,0.25735912531539107,0.021913703125663608,0.007008690776562938,0.005215991515281646,0.00672834314550042,0.004767448003878712,0.054948135688253436,0.014108157033599352,0.23633305298570226,0.019860897928417644,0.3590446358653093,0.026994608881026023,0.0908379013312451,0.012527176993837465,0.21299921691464369,0.028017014011459694,0.009397024275646046,0.007053608929455675,0.00822239624119029,0.005956744102960644,0.04581049334377447,0.013619427463788376,0.2736883320281911,0.024272374119529747,0.45751633986928103,0.21696200524052356,0.004357298474945534,0.09586480850935895,0.47058823529411764,0.2283496291432814,0.0,0.05577342047930283,0.0,0.047058823529411764,0.004357298474945534,0.1067576218497231,0.06535947712418301,0.18480948108940143,0.36623889437314905,0.01916271265305148,0.07773938795656465,0.009428512190038119,0.27986179664363275,0.017628338679202216,0.006169792694965449,0.004590339594079005,0.005923000987166831,0.004195472976916845,0.048617966436327736,0.012389261893479159,0.2154491609081935,0.017970744273016894,-0.015001165661408244,0.034922099599317795,0.013174442984082796,0.016270842246469557,-0.03924107515306291,0.035490258552039695,0.001431541368244785,0.009244671273632927,0.0012525986972141863,0.007806957528651688,0.006314973927909882,0.017828796498368486,0.03173678871587779,0.03194789661771573,0.18633540372670807,0.07234155086514246,0.008547008547008548,0.18716206315132689,0.28421052631578947,0.1097395327554208,0.0,1.0606601717798214,0.0,1.0236212451462403,0.01680672268907563,0.4077507567844367,0.0411522633744856,0.11337227625597714
Place,25546,16000US0602000,"Anaheim city, California",charter,city,Anaheim,California,265820,1596,279720,2642,199685,3028,66135,3423,349965,90,48975,1687,47235,1832,38765,1508,10210,2263,58295,2013,7250,866,8290,1027,6725,853,525,1216,8830,1051,129840,2135,135075,2200,77810,2275,52030,3120,189975,2388,325,159,575,336,325,159,0,225,575,336,1125,365,1280,461,1085,352,40,508,1320,474,3845,515,5620,668,3615,496,230,716,5860,692,74465,2031,81640,2305,71360,1973,3105,2832,85105,2348,0.18424121586035663,0.006442085060273378,0.027274095252426453,0.0032619566362698136,0.2487961778647205,0.01225158214932092,0.48845083138966217,0.008550420390062353,0.0012226318561432549,0.0005981941663379003,0.004232187194342036,0.0013733447204500953,0.014464675344217892,0.0019393467894473198,0.2801331728237153,0.007823444548566365,0.16886529386529386,0.006740817632586042,0.029636779636779638,0.003682184174198565,0.4828936078936079,0.009091816907524745,0.0020556270556270555,0.0012013581048780338,0.004576004576004576,0.0016486432909522996,0.02009152009152009,0.002395630347560721,0.29186329186329185,0.008689262631484462,0.19413075594060644,0.008105363914978889,0.03367804291759521,0.004302146446070884,0.3896637203595663,0.012834066635652435,0.0016275634123744899,0.0007966364939225387,0.005433557853619451,0.0017647009051676849,0.018103513033027017,0.002499035936763121,0.35736284648321104,0.011269035254665289,0.1543811899901716,0.035138451028861366,0.007938308006350647,0.018391223484548726,0.7867241248960459,0.06231886225683761,0.0,0.0034021320027217057,0.0006048234671505254,0.0076813218215769806,0.003477734936115521,0.010827836305812591,0.04694942163755954,0.042890393741510824,0.16657380023716659,0.005752163284041279,0.02523109453802523,0.0030031644683019996,0.5428399982855429,0.006824967385423132,0.001643021445001643,0.0009600961025783983,0.003771805752003772,0.0013544215037380354,0.016744531596016743,0.001977345280089421,0.24318146100324317,0.0067095338160621295,0.009889540080249809,0.010353616958244077,0.0064039476651687605,0.0053989651916219105,-0.09878711103009585,0.015421509499888818,0.000404931556231235,0.0009962258599784943,0.001201370659277415,0.002236122761810674,0.003638837688809125,0.0031632651774666566,0.07722967365949573,0.01371850721381091,0.20847371107708015,0.04112761962922965,0.07241379310344828,0.16161393319497364,0.40072396796056686,0.020102443160557665,0.0,0.6918767889763757,0.035555555555555556,0.4425056779443122,0.05981794538361508,0.1802735833774169,0.04169744175115826,0.03721797745031256
