table,line,geoid,geoname,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe,dvap_est,dvap_moe,tot_est,tot_moe,asn_adu_est,asn_adu_moe,asn_cit_est,asn_cit_moe,asn_cvap_est,asn_cvap_moe,asn_dvap_est,asn_dvap_moe,asn_tot_est,asn_tot_moe,blk_adu_est,blk_adu_moe,blk_cit_est,blk_cit_moe,blk_cvap_est,blk_cvap_moe,blk_dvap_est,blk_dvap_moe,blk_tot_est,blk_tot_moe,his_adu_est,his_adu_moe,his_cit_est,his_cit_moe,his_cvap_est,his_cvap_moe,his_dvap_est,his_dvap_moe,his_tot_est,his_tot_moe,ind_adu_est,ind_adu_moe,ind_cit_est,ind_cit_moe,ind_cvap_est,ind_cvap_moe,ind_dvap_est,ind_dvap_moe,ind_tot_est,ind_tot_moe,pac_adu_est,pac_adu_moe,pac_cit_est,pac_cit_moe,pac_cvap_est,pac_cvap_moe,pac_dvap_est,pac_dvap_moe,pac_tot_est,pac_tot_moe,tmr_adu_est,tmr_adu_moe,tmr_cit_est,tmr_cit_moe,tmr_cvap_est,tmr_cvap_moe,tmr_dvap_est,tmr_dvap_moe,tmr_tot_est,tmr_tot_moe,wht_adu_est,wht_adu_moe,wht_cit_est,wht_cit_moe,wht_cvap_est,wht_cvap_moe,wht_dvap_est,wht_dvap_moe,wht_tot_est,wht_tot_moe,prop_adu_asn_est,prop_adu_asn_moe,prop_adu_blk_est,prop_adu_blk_moe,prop_adu_dvap_est,prop_adu_dvap_moe,prop_adu_his_est,prop_adu_his_moe,prop_adu_ind_est,prop_adu_ind_moe,prop_adu_pac_est,prop_adu_pac_moe,prop_adu_tmr_est,prop_adu_tmr_moe,prop_adu_wht_est,prop_adu_wht_moe,prop_cit_asn_est,prop_cit_asn_moe,prop_cit_blk_est,prop_cit_blk_moe,prop_cit_his_est,prop_cit_his_moe,prop_cit_ind_est,prop_cit_ind_moe,prop_cit_pac_est,prop_cit_pac_moe,prop_cit_tmr_est,prop_cit_tmr_moe,prop_cit_wht_est,prop_cit_wht_moe,prop_cvap_asn_est,prop_cvap_asn_moe,prop_cvap_blk_est,prop_cvap_blk_moe,prop_cvap_his_est,prop_cvap_his_moe,prop_cvap_ind_est,prop_cvap_ind_moe,prop_cvap_pac_est,prop_cvap_pac_moe,prop_cvap_tmr_est,prop_cvap_tmr_moe,prop_cvap_wht_est,prop_cvap_wht_moe,prop_dvap_asn_est,prop_dvap_asn_moe,prop_dvap_blk_est,prop_dvap_blk_moe,prop_dvap_his_est,prop_dvap_his_moe,prop_dvap_ind_est,prop_dvap_ind_moe,prop_dvap_pac_est,prop_dvap_pac_moe,prop_dvap_tmr_est,prop_dvap_tmr_moe,prop_dvap_wht_est,prop_dvap_wht_moe,prop_tot_asn_est,prop_tot_asn_moe,prop_tot_blk_est,prop_tot_blk_moe,prop_tot_his_est,prop_tot_his_moe,prop_tot_ind_est,prop_tot_ind_moe,prop_tot_pac_est,prop_tot_pac_moe,prop_tot_tmr_est,prop_tot_tmr_moe,prop_tot_wht_est,prop_tot_wht_moe,racial_disp_asn_est,racial_disp_asn_moe,racial_disp_blk_est,racial_disp_blk_moe,racial_disp_his_est,racial_disp_his_moe,racial_disp_ind_est,racial_disp_ind_moe,racial_disp_pac_est,racial_disp_pac_moe,racial_disp_tmr_est,racial_disp_tmr_moe,racial_disp_wht_est,racial_disp_wht_moe,prop_asn_adu_dvap_est,prop_asn_adu_dvap_moe,prop_blk_adu_dvap_est,prop_blk_adu_dvap_moe,prop_his_adu_dvap_est,prop_his_adu_dvap_moe,prop_ind_adu_dvap_est,prop_ind_adu_dvap_moe,prop_pac_adu_dvap_est,prop_pac_adu_dvap_moe,prop_tmr_adu_dvap_est,prop_tmr_adu_dvap_moe,prop_wht_adu_dvap_est,prop_wht_adu_dvap_moe
State,1,0400000US01,Alabama,3800275,544,4792060,2781,3709180,2427,91095,2488,4893185,0,53295,893,44725,1567,32205,1153,21090,1459,68615,1357,977310,1576,1290900,2991,972205,1676,5105,2301,1296800,2744,128645,424,155995,1880,76810,1621,51835,1676,212950,536,17910,932,21305,1059,17880,933,30,1319,21335,1057,1375,249,1750,299,1300,248,75,352,1920,315,50815,1960,87125,3089,49955,1952,860,2767,88060,3102,2570920,68,3190265,1273,2558830,1120,12090,1123,3203500,29,0.014023985106340989,0.00023499156969417485,0.25716823124642296,0.0004163375458203063,0.02397063370413983,0.000653742382395967,0.03385149758899027,0.00011167605433904725,0.004712816835623738,0.0002452463377630922,0.0003618159212162278,6.552159456712371e-05,0.01337140075389281,0.000515755701319747,0.6765089368532541,9.84798179758031e-05,0.009333146913853332,0.0003270440992012582,0.2693831045521133,0.0006434379271022063,0.032552806100090564,0.00039277020929537505,0.004445895919500173,0.00022100561634013437,0.00036518741418095765,6.2395238116764e-05,0.018181116263151963,0.0006446943019790666,0.6657397862297216,0.00046886742380150315,0.008682512037701056,0.0003109022873309727,0.26210779741074847,0.000483304689455125,0.02070808103138699,0.0004372338188655004,0.0048204724494362635,0.00025155785060309676,0.0003504817776435762,6.686153240668328e-05,0.013467936309372961,0.0005263356466265089,0.6898640669905478,0.0005430765248061741,0.2315165486579944,0.017219268137416113,0.056040397387342886,0.025305674811465007,0.5690213513365169,0.024083790069555733,0.00032932652725177014,0.014479392441901913,0.0008233163181294253,0.003864163347705495,0.00944069378121741,0.03037597774076991,0.13271859048246337,0.012849661000829606,0.014022564035490176,0.0002773244829288081,0.26502165767286545,0.0005607799418987838,0.043519711598887026,0.00010954010526885864,0.004360145794610259,0.00021601472251713352,0.00039238246663471745,6.437524843225833e-05,0.017996458339506884,0.0006339429226567154,0.6546860582626653,5.926610173128545e-06,-0.005341473068639933,0.0003897194761555585,0.004939566164325504,0.0006379031077749899,-0.013143416557603278,0.00045127037734870993,0.00010765561381252588,0.00035132195830357466,-1.1334143572651594e-05,9.361380170887461e-05,9.653555548015148e-05,0.0007369078343684299,0.013355130137293725,0.0005519333169361117,0.39572192513368987,0.023886434551599826,0.005223521707544177,0.0023482483461397773,0.40293054529907885,0.012753306917741637,0.0016750418760469012,0.07357071465389149,0.05454545454545454,0.24868656799367206,0.016924136573846307,0.053976263360177655,0.004702596735798858,0.00043643639356192584
State,14,0400000US02,Alaska,553630,220,713205,1386,532555,1189,21075,1210,736990,0,35875,773,33485,1214,24660,864,11215,1160,45985,1207,17900,578,21525,857,16790,627,1110,853,23010,948,34675,134,49125,684,31285,560,3390,576,53060,82,71225,1099,104505,1475,71165,1092,60,1550,104570,1474,6410,232,9295,559,5585,392,825,456,10410,362,31355,1451,55665,2306,31060,1436,295,2042,56035,2313,356190,22,439605,547,352015,538,4175,539,443925,5,0.06479959539764825,0.0013964767892608975,0.032332062930115785,0.0010440976213479311,0.038066940014088835,0.002181396101401125,0.06263208279898128,0.000243315172718461,0.1286509040333797,0.0019857384789910776,0.01157812979787945,0.00041907769214571554,0.05663529794266929,0.002620980610046101,0.6433719270993262,0.0002587312148882355,0.04695003540356559,0.001704618954884938,0.030180663343638926,0.001203048589359351,0.068879214251162,0.0009683471833680594,0.14652869791995288,0.0020876406220817797,0.013032718503095182,0.0007841949656659751,0.07804908827055335,0.003236847626605673,0.616379582308032,0.0014223352619245435,0.04630507647097483,0.0016256582231943927,0.03152726009520143,0.0011794454460530039,0.058745106139272,0.0010596824755018488,0.13362939039160274,0.0020720833056380263,0.010487179727915427,0.0007364465063680491,0.05832261456563172,0.0026995773243140733,0.6609927613110383,0.0017884082939218888,0.53214709371293,0.06295264675365775,0.052669039145907474,0.040587301312381814,0.1608540925266904,0.028849120489086204,0.0028469750889679717,0.07354703810365423,0.03914590747330961,0.021753427104942557,0.013997627520759193,0.09689538506796454,0.1981020166073547,0.027990378536348136,0.06239569057924802,0.0016377427102131643,0.03122159052361633,0.0012863132471268267,0.07199554946471458,0.0001112633821354428,0.14188794963296653,0.002000027137410277,0.01412502204914585,0.0004911871260125646,0.076032239243409,0.003138441498527795,0.6023487428594689,6.784352569234317e-06,-0.01849451892667342,0.002143108042443025,-0.0008048028349143532,0.0015751924971633077,-0.0038869766597092736,0.0010872576613483763,0.004978486358223039,0.0028699628102903368,-0.0010909500699640227,0.0008473367505283151,0.001687316622962426,0.0037626130664989146,0.017620834211712122,0.001807026858496061,0.31261324041811844,0.0282735045686913,0.06201117318435754,0.0463068780726114,0.09776496034607066,0.016522047241482093,0.0008424008424008424,0.02174267848964867,0.12870514820592824,0.06880648878474592,0.009408387816935098,0.06479873649444473,0.011721272354642185,0.0015116627415286226
State,27,0400000US04,Arizona,5534420,216,6655240,9368,5049925,8269,484495,8272,7174065,0,190070,1894,161120,3037,123540,2408,66530,3064,234810,2872,231310,2172,294415,3794,219470,2519,11840,3327,309600,3556,1530910,0,1908375,7578,1196205,6938,334705,6938,2260690,0,196660,1568,272345,2437,196155,1581,505,2227,272990,2426,10410,405,11765,619,8940,491,1470,637,13495,543,100895,3381,171585,5132,98655,3302,2240,4726,174245,5243,3274165,31,3835635,3663,3206955,3183,67210,3184,3908225,31,0.034343255481152496,0.0003422245740466697,0.04179480415291937,0.00039245643828815854,0.08754214533772284,0.001494528512238019,0.27661615851344856,1.0795908196144292e-05,0.03553398549441495,0.00028332124870129405,0.001880955908658902,7.317843672660698e-05,0.018230455946603257,0.0006109045379863597,0.5916003845028025,2.375897240510067e-05,0.02420949507455779,0.00045760279324506093,0.04423807405893702,0.0005734679378644512,0.2867477356188507,0.0012080747262413515,0.04092189011966511,0.00037068054384212804,0.001767779974876939,9.304269851114885e-05,0.025781940245580927,0.0007719752041506819,0.5763330849075315,0.0009803394803773167,0.024463729659351376,0.0004785184029605173,0.04346005138690179,0.0005038699738210692,0.236875795185077,0.0014275840022545424,0.03884315113590796,0.00031946945940048094,0.0017703233216334897,9.727237020415031e-05,0.019535933701985673,0.0006546531258221889,0.6350500254954281,0.0012159772149954217,0.1373182385783135,0.006744704302157834,0.024437816695734735,0.006879608006519917,0.6908327227319168,0.01855219250344651,0.0010423224181880103,0.0045965731135606215,0.003034087039081931,0.0013157911671747657,0.004623370726220085,0.009754806018241299,0.13872176183448745,0.0069855591729452325,0.03273039761975951,0.0004003309142027567,0.043155449525478236,0.0004956743492009063,0.31511981003796313,0.0,0.0380523454972878,0.00033816253407238433,0.0018810813673977027,7.568930585379418e-05,0.02428818250183125,0.000730826943998974,0.544771339540414,4.321120592021399e-06,-0.00987952582180112,0.0005883005363360708,0.0016652472339824184,0.0006386759792510379,-0.03974036332837155,0.001427624822958356,0.0033091656414930073,0.000427003121130626,-0.00011063258702541227,0.00012172509029318191,0.0013054777553824157,0.000895418935292911,0.043449640992625604,0.001216209306064449,0.3500289367075288,0.014228594780126546,0.051186719121525226,0.014070248114889114,0.21863140223788466,0.004531945052289162,0.002567883657073121,0.011308170038055046,0.14121037463976946,0.05780097167115401,0.022201298379503444,0.04631070104447462,0.02052737110072339,0.000972200491111492
State,40,0400000US05,Arkansas,2309040,544,2913755,2949,2219480,2664,89560,2719,3011875,0,35725,769,29615,1176,20840,841,14885,1140,46100,1073,334875,1039,454910,1782,332820,1135,2055,1539,457225,1763,142735,320,166250,2076,83450,1852,59285,1880,229630,138,12855,824,15960,1018,12855,824,0,1166,15960,1018,6220,329,4415,695,1840,413,4380,529,10380,521,43730,1439,76010,2504,42990,1416,740,2019,77060,2523,1732905,29,2166595,1147,1724685,1059,8220,1060,2175525,29,0.015471797803416138,0.00033305878569641,0.14502780376260263,0.0004512659349295945,0.03878668191109725,0.0011757411791929304,0.06181573294529328,0.00013934884822625797,0.0055672487267435814,0.0003568606718408719,0.002693760177389738,0.00014248486969909298,0.018938606520458718,0.0006232186885278174,0.7504872154661678,0.00017725709275241892,0.010163860722675723,0.00040373398186343217,0.15612500021449985,0.0006316650714981654,0.05705695914721725,0.0007148190776222731,0.005477468078132856,0.00034942132942976096,0.0015152269150975287,0.000238528759054135,0.02608661332198486,0.0008597776606866973,0.7435748716003919,0.0008493060874940477,0.00938958675004956,0.0003790851511675754,0.14995404328941914,0.0005421308850532934,0.03759889703894606,0.0008356491789171873,0.005791897201146214,0.00037132321494505027,0.0008290230143997693,0.0001860822827781451,0.01936940184187287,0.0006384107361772527,0.7770671508641663,0.0010476587918387564,0.1662014292094685,0.013692512328642712,0.022945511389012952,0.017198124808994405,0.6619584635998214,0.02906067932687272,0.0,0.01301920500223314,0.04890576150066994,0.0060904081468480245,0.008262617239839214,0.022544941822400664,0.09178204555605181,0.012159225165224283,0.015306080099605728,0.000356256484747873,0.1518074289271633,0.0005853496576053123,0.0762415438887736,4.5818634571487866e-05,0.0052990246939199,0.0003379954347374974,0.0034463581655945217,0.00017298194646192156,0.0255853911599917,0.0008376841668395934,0.7223158331604067,9.628553641834406e-06,-0.006082211053366577,0.0005046124320360237,0.004926239526816506,0.0007053700025919363,-0.02421683590634722,0.00084718808521305,0.00022464847440263266,0.0005150053097433525,-0.0018647371629899685,0.00023436841522929888,0.0004307953214141534,0.0008921713970962723,0.026579935397998522,0.001062548361745517,0.4166550034989503,0.02668050622420793,0.0061366181410974245,0.004582158138265056,0.4153501243563247,0.013041130570992135,0.0,0.09065048427813538,0.7041800643086816,0.06821744581905753,0.01692202149554082,0.045771129206637555,0.004743479879162447,0.0006113394800175813
State,53,0400000US06,California,30389380,454,34415900,30948,25774910,28872,4614470,28876,39346025,0,4700555,7383,4517525,14093,3555620,11408,1144935,13589,5762995,11347,1733055,4105,2106370,7225,1673410,4708,59645,6247,2173550,6797,10764680,177,12330050,25845,7861160,24304,2903520,24305,15380930,0,107785,1934,133520,2579,106245,1891,1540,2705,135305,2573,111835,1375,123885,2189,96875,1750,14960,2226,140155,1925,737745,8808,1209715,13283,702915,8478,34830,12226,1253120,13522,12233735,31,13994825,7426,11778685,6388,455050,6389,14499970,7,0.15467755511958453,0.0002429577029658951,0.05702831054796116,0.00013508277062387552,0.15184482210561717,0.0009501532328734057,0.35422506151820143,7.869440427064346e-06,0.003546798256496184,6.364067547099134e-05,0.003680068497613311,4.52461029167929e-05,0.024276408403198748,0.0002898383216642315,0.4025661267192684,6.100007246593149e-06,0.13126273030779378,0.00042616355003486696,0.06120339726696091,0.00021702638361818284,0.3582660921260232,0.0008171494073573287,0.003879602160629244,7.501745807758706e-05,0.003599644350431051,6.368663544295238e-05,0.035149887116129465,0.0003872474444180949,0.40663835610865906,0.0004245793467226042,0.13794888129580277,0.0004688000577902541,0.06492399003527073,0.00019660364035830935,0.3049927235439425,0.0010029156602675677,0.004122031851905594,7.351107435316514e-05,0.003758500029680026,6.802589136906293e-05,0.027271288241161658,0.00033034002757802183,0.45698258500223665,0.0005687339295146446,0.2481184187999922,0.0033291095312379046,0.012925644765270984,0.0013561991131630464,0.6292206905668474,0.006576196869900758,0.00033373280138347417,0.0005862032186062914,0.0032419757848680345,0.00048282200210938384,0.007547995761160003,0.0026499126926298622,0.09861370861659086,0.0015158519409625207,0.14646956077519901,0.0002883899961940247,0.055241920880190566,0.0001727493438028365,0.39091445705125233,0.0,0.0034388480157779597,6.539415353901697e-05,0.003562113326568567,4.892489139627193e-05,0.03184870644493313,0.00034366876958981244,0.36852439350607846,1.7790869598644336e-07,-0.016728673823781764,0.0005280169879981227,0.00789567948730957,0.00023853793476418382,-0.04923233797425891,0.0010029465338205054,0.0005752335954094098,9.723175215412203e-05,7.84315320667148e-05,8.169903136336785e-05,0.0029948798379629098,0.0004394664794104173,0.05441645828296826,0.0005687666416638524,0.2435744289770038,0.0027021538900703188,0.03441610335505797,0.0035511723052360504,0.2697265501621971,0.002257785992851348,0.01428770237045971,0.024912245273753943,0.13376849823400547,0.01892852159540028,0.0472114348453734,0.016169760746677055,0.03719632638764858,0.0005221683915090677
State,66,0400000US08,Colorado,4425895,606,5387870,5345,4153975,4968,271920,5005,5684925,0,142585,1395,128865,2401,97800,1911,44785,2366,179560,2121,171975,1463,209120,2416,157560,1750,14415,2281,226390,2325,834575,411,1048820,4524,664370,4067,170205,4088,1231125,428,23805,899,29430,1110,23730,895,75,1269,29505,1113,6135,573,6750,647,5245,524,890,777,7825,703,87990,2413,145110,3507,85370,2392,2620,3398,148320,3499,3158825,415,3819775,2165,3119900,1928,38925,1973,3862200,423,0.03221608284877974,0.0003152213517438304,0.03885654765872214,0.0003305974234420601,0.0614384209295521,0.0011298171600075532,0.18856638035922677,9.638499452281148e-05,0.005378573147352118,0.00020312409323998176,0.0013861603133377542,0.00012946547889765867,0.01988072468958256,0.0005452072577343685,0.7137144012679921,0.00013543218422451745,0.023917614938742025,0.00044626187343573535,0.038813111674929054,0.0004500647785370685,0.19466319714469726,0.0008615849469073181,0.005462269876593162,0.00020608958569201584,0.0012528141918791656,0.00012009099172104242,0.02693272109386455,0.0006514547118245694,0.7089582710792948,0.0008100131798886641,0.023543714153310986,0.00046090218513974524,0.03792993458073291,0.00042371847013871703,0.15993596494923537,0.0009975720085598158,0.005712600581370856,0.00021556457394273908,0.0012626460197762385,0.00012615327361859132,0.02055139956306911,0.0005763583065097152,0.7510637401525045,0.0010110702691954732,0.16469917622830244,0.009214054385683672,0.053011915269196824,0.008445055014093978,0.6259377758164166,0.018940749293743824,0.0002758164165931156,0.004666816530067575,0.003273021476904972,0.0028580930638134492,0.009635186819652839,0.012497580828497116,0.143148720211827,0.007719394100957527,0.031585289163885186,0.0003730919932980646,0.03982286485749592,0.00040897637171994353,0.21655958521880236,7.528683315962832e-05,0.005190042084987929,0.00019578094697819234,0.0013764473585843261,0.00012366038250284745,0.026090053958495493,0.0006154874514615409,0.6793757173577488,7.44073140806607e-05,-0.008672368695468755,0.0005583863580548862,-0.0009266130779892259,0.0005374309242341974,-0.028630415409991394,0.0010022175309937597,0.00033402743401873825,0.0002961882556646692,-0.00012351429356151572,0.00018076492655072021,0.00067067487348655,0.00079337245438002,0.03734933888451242,0.0010201004684710375,0.3140933478276116,0.014988690649052947,0.08382032272132578,0.012817765886531244,0.20394212623191446,0.004888882563961688,0.00315059861373661,0.05320508438056919,0.14506927465362673,0.1169232380732894,0.02977611092169565,0.038038820015096945,0.012322619961536331,0.0006239942669801463
State,79,0400000US09,Connecticut,2834965,141,3329020,5051,2615815,4479,219150,4482,3570550,0,128960,939,110710,2128,80915,1625,48045,1877,164025,1681,276945,1602,325165,2899,249410,2230,27535,2746,356380,2348,406560,0,492895,3841,320255,3515,86305,3515,587210,0,3830,400,4930,535,3695,379,135,552,5065,549,755,171,895,181,695,152,60,229,955,199,43285,1856,78635,2790,40845,1824,2440,2603,81700,2870,1974630,30,2315780,2375,1920005,2126,54625,2127,2375220,30,0.04548909774900219,0.0003312287472515293,0.09768903672532113,0.0005651072287222076,0.0773025416539534,0.0015805800413477514,0.14340917789108507,7.13260801549331e-06,0.001350986696484789,0.00014109523234242063,0.00026631722084752366,6.0318206440987515e-05,0.015268266098523262,0.0006546822442465384,0.696527117618736,3.6222723617067796e-05,0.033256033307099385,0.0006412155549695909,0.09767589260503091,0.0008833474161839353,0.14806008975614446,0.001175459142900565,0.0014809163056995753,0.00016072366313564079,0.00026884788916858415,5.437188539992025e-05,0.023621065658962697,0.0008388504388550923,0.6956341505908645,0.0012739579426980338,0.030932997937545278,0.000623475170806028,0.09534695687577294,0.0008679987070358877,0.12243029419129411,0.0013600034103836082,0.0014125616681607835,0.00014490810905900777,0.0002656915722251,5.810986572336021e-05,0.015614636356164332,0.0006978094128550261,0.7339987728489974,0.0014967063190130224,0.21923340177960302,0.009667538370660912,0.12564453570613734,0.012791003720061126,0.3938170203057267,0.017947929413874734,0.0006160164271047228,0.0025188542317400196,0.0002737850787132101,0.0010449613858944055,0.011133926534337212,0.011879891834611066,0.2492584987451517,0.010963006758896906,0.04593830082200221,0.0004707958157706796,0.09981095349455966,0.0006576017700354287,0.1644592569772164,0.0,0.001418548963044909,0.0001537578244248085,0.00026746579658596016,5.573371049278123e-05,0.022881628880704653,0.0008037977342426237,0.665225245410371,8.402066908459481e-06,-0.014556099811456915,0.0007059984218236066,-0.0023420798495481926,0.0010357451111977628,-0.02097888369979095,0.0013600221139202656,6.157497167599444e-05,0.0002022528730594919,-6.256486224236494e-07,8.375585067709921e-05,0.0003463702576410703,0.0009568421069334065,0.037471655230261414,0.001497144579217301,0.37255738213399503,0.013403453592909025,0.09942407337196917,0.009590360439736052,0.21228109012199922,0.008645710350255804,0.03524804177545692,0.14122416232408364,0.07947019867549669,0.2898275220353058,0.05637056717107543,0.05841964342738216,0.027663410360421952,0.0010767587380441626
State,92,0400000US10,Delaware,763470,34,923475,1752,723160,1485,40310,1486,967680,0,30360,559,25295,900,17900,729,12460,919,38840,810,157680,1280,202560,2097,152135,1455,5545,1938,208795,1912,58160,0,71710,1228,40240,1140,17920,1140,91350,0,2535,204,2815,225,2520,207,15,291,2860,228,275,79,310,80,255,90,20,120,325,76,13785,1451,25790,2103,13365,1428,420,2036,26275,2118,500685,29,594990,517,496740,501,3945,502,599235,29,0.03976580612204802,0.0007321854625130387,0.2065307084757751,0.0016765809543577463,0.05279840727206046,0.0019455239480136726,0.07617850079243454,3.3924961386076397e-06,0.003320366222641361,0.0002672011097188118,0.00036019751922144945,0.00010347492494695725,0.018055719281700657,0.001900533262425982,0.655801799677787,4.79140983965618e-05,0.027391104252957578,0.0009759641752425488,0.21934540729310484,0.002308586287447857,0.07765234575922467,0.0013378956194999155,0.00304826876742738,0.00024371355210488856,0.0003356885676385392,8.663164871784769e-05,0.02792712309483202,0.002277884193104163,0.6442946479330789,0.0013444508424902875,0.024752475247524754,0.0010093562944119073,0.21037529730626695,0.002057858643928458,0.055644670612312624,0.001580550443384305,0.003484706012500691,0.00028633313804442956,0.00035261906078876045,0.00012445589262405086,0.018481387244869737,0.001975031401437942,0.6869019304165054,0.001571495337179174,0.30910444058546266,0.02548739425353988,0.13755891838253534,0.048344095633489646,0.44455470106673284,0.03268605265224497,0.00037211610022326965,0.007219065377750689,0.0004961548002976929,0.0029769849898251947,0.010419250806251551,0.05051001911043231,0.09786653435871992,0.012965546179902898,0.04013723544973545,0.0008370535714285715,0.21576864252645503,0.0019758597883597884,0.09440104166666667,0.0,0.002955522486772487,0.00023561507936507937,0.000335854828042328,7.853835978835979e-05,0.027152571097883597,0.0021887400793650794,0.6192491319444444,2.996858465608466e-05,-0.015013330874523265,0.0012469545623575741,0.003844588830491852,0.0026543748595302444,-0.02053383018012192,0.0015805540842098297,0.00016433978985933018,0.0003916415439880387,-7.578458432689001e-06,0.0001618528013400686,0.0004256679631690803,0.0027409443114104794,0.031100130738718423,0.0015722256058215821,0.41040843214756256,0.02635180102056451,0.03516615930999493,0.012103372425296927,0.3081155433287483,0.019601100412654743,0.005917159763313609,0.11431266598058229,0.07272727272727272,0.42197847157889506,0.030467899891186073,0.14541574858646114,0.007879205488480782,0.0010022778135099944
State,105,0400000US11,District of Columbia,575925,85,650725,2316,528025,2224,47900,2226,701975,0,26170,448,20890,902,18570,762,7600,884,28865,598,247165,1019,306495,1549,239555,1325,7610,1672,314940,1231,56960,0,56005,1556,36670,1309,20290,1309,77980,0,1200,122,1355,141,1200,122,0,173,1355,141,285,66,270,64,270,64,15,92,285,66,11975,1120,17610,1341,11400,1099,575,1570,18235,1366,232175,31,248100,1119,220365,1076,11810,1077,260315,31,0.04543994443720971,0.000777907973004755,0.429161783218301,0.0017704609709045674,0.08317055172114425,0.0038639839399051985,0.09890176672309763,1.4596779392218254e-05,0.002083604636020315,0.0002118333612048066,0.0004948561010548249,0.00011459827825430132,0.020792637930286063,0.0019447000815533575,0.4031340886400139,8.023279574180405e-05,0.03210265473126129,0.0013908472098111261,0.4710054170348458,0.0029114578431882277,0.08606554227976487,0.0024107192147866966,0.0020822928272311654,0.00021680809690612806,0.0004149218179722617,9.83629244067241e-05,0.02706212301663529,0.002063027974450931,0.38126704829228936,0.0021905393706987734,0.035168789356564555,0.001450695868419383,0.4536811703991288,0.0031540869518491845,0.0694474693433076,0.0024962463611097347,0.0022726196676293737,0.00023124786114161235,0.0005113394252166091,0.00012122551555201707,0.02158988684247905,0.002083326396485141,0.4173381942142891,0.002691171286914029,0.15866388308977036,0.019873557139030756,0.15887265135699374,0.03567832396331204,0.42359081419624217,0.03367948021432691,0.0,0.0036116910229645094,0.00031315240083507306,0.0019207231902639748,0.012004175365344467,0.0327813649446857,0.2465553235908142,0.02523546159720719,0.04111969799494284,0.0008518821895366645,0.4486484561416005,0.0017536237045478829,0.11108657715730617,0.0,0.0019302681719434453,0.00020086185405463158,0.0004059973645785106,9.402044232344458e-05,0.0259767085722426,0.0019459382456640194,0.3708322945973859,4.416111684889063e-05,-0.010271155080645154,0.0016461042850054897,0.0245193871808278,0.0036170148671690063,-0.029454297379790023,0.002496289038016675,0.00018901503160905853,0.00031360635548709226,1.648332416178419e-05,0.0001668184372295299,0.0007972489121929882,0.002849931101182167,0.014204105574275205,0.002692367024947204,0.2904088651127245,0.031549587603162454,0.030789148949082596,0.006686152071295518,0.35621488764044945,0.0229810393258427,0.0,0.14377837884126468,0.05263157894736842,0.3139427516158818,0.04801670146137787,0.1278678992127642,0.05086680305803812,0.004636167594771918
State,118,0400000US12,Florida,17002480,733,19327825,22527,15296735,19887,1705745,19901,21216925,0,481485,2508,439145,4745,342640,3716,138845,4484,592225,3992,2442025,3737,3023200,10062,2221110,7711,220915,8569,3271605,6803,4177085,366,4301025,16677,3122155,14445,1054930,14450,5468825,159,33250,1329,38935,1513,32325,1259,925,1831,39905,1574,10225,696,10655,844,8405,739,1820,1016,12500,855,220435,4779,391540,7847,208300,4639,12135,6661,405955,8030,9637975,7,11123320,7038,9361805,6200,276170,6201,11425905,34,0.02831851588709412,0.00014751294506331407,0.14362757668293097,0.0002198786688516607,0.10032330577656906,0.0011702958074382556,0.24567504269965323,2.3990785577128843e-05,0.001955597065839807,7.816511315156073e-05,0.0006013828570890834,4.0935212956891454e-05,0.012964873359651062,0.0002810771986679942,0.5668570114477417,2.44414432148687e-05,0.02272087004099013,0.00024692511100653865,0.15641697914793826,0.0005515947830295906,0.22253021227168604,0.0009009874970075313,0.002014453255862985,7.831612634679417e-05,0.000551277756291771,4.367234073561829e-05,0.020257840703752233,0.00040668096106206324,0.5755081081290834,0.0007632334467626807,0.022399551276792072,0.00024466690276922785,0.14520157406139284,0.0005382813726802202,0.2041059742487531,0.0009808932792957912,0.0021131960513142184,8.235098531216666e-05,0.0005494636600555609,4.831624413267991e-05,0.013617284995785049,0.0003037836250998012,0.6120132825730458,0.0008929538186790168,0.08139845053041339,0.0027950469648484115,0.12951232452681966,0.0052459384692894176,0.6184570378339084,0.011127826115740062,0.0005422850426060167,0.0010734499025865391,0.0010669824622085951,0.0005957642363137038,0.007114193504890825,0.003905920560828882,0.16190579482865258,0.0040968318686327755,0.027912857306136494,0.00018815167607935646,0.15419788682855787,0.00032064024357912374,0.25775766280929024,7.4940171584713615e-06,0.0018808097780427654,7.418605665052781e-05,0.0005891522923326542,4.029801679555355e-05,0.019133545506712212,0.0003784714325944971,0.5385278498180108,1.6024942351448194e-06,-0.005918964610302047,0.0002856955762204573,0.0015739973784618666,0.0005814580511012641,-0.04156906845090014,0.0009811866199455936,0.0001575989854744114,0.00011354060813594836,-5.1919197033522516e-05,6.332575389930057e-05,0.0006524116361339861,0.00041387061080707776,0.04515627112530407,0.0008932882549546166,0.28836827730874276,0.00856181656362761,0.09046385684012244,0.003450775100832186,0.25255171968011186,0.0034587733378558987,0.027819548872180452,0.05425564648723932,0.17799511002444987,0.09140132354638972,0.055050241567809105,0.029369598532870893,0.028654359447913072,0.0006432890444719423
